ETid,Country,Date of Decision,Fine (EUR),Sector,Type of Violation,Summary,stratum,manual_label,confidence,notes
1680,Romania,3/6/2023,2250.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 2,250 on Finopro IFN SA. The controller had suffered a ransomware attack in which unauthorized third parties gained access to personal data such as address, credit card details, bank account information, telephone numbers etc. of data subjects.  During its investigation the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data.",malicious_kw,cyber_malicious,High,ransomware
1025,Greece,1/27/2022,3200000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Hellenic DPA has imposed a fine of EUR 3.2 million on Cosmote subsidiary OTE Group. Among other things, OTE Group had contributed to Cosmote's security infrastructure. Cosmote had reported a data breach to the DPA under Article 33 of the GDPR. A hacker had been able to penetrate Cosmote's systems due to a lack of security measures and obtained and subsequently leaked data from customers. The stolen data included sensitive information, from Cosmote subscribers such as age, gender and contract information. Nearly 10 million people were affected by the incident. 

For this reason, the DPA found that OTE Group had failed to implement adequate technical and organizational measures to ensure a level of security commensurate with the risk to data subjects.",malicious_kw,cyber_malicious,High,same Cosmote hack (processor side)
1708,Spain,3/21/2023,50000.0,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on SOCIEDAD ESPAÑOLA DE RADIODIFUSIÓN, S.L.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",malicious_kw,not_cyber,High,same rape-testimony media case
71,Bulgaria,8/28/2019,2600000.0,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,Leakage of personal data in a hacking attack due to inadequate technical and organisational measures to ensure the protection of information security. It was found that personal data concerning about 6 million persons was illegally accessible.,malicious_kw,cyber_malicious,High,
2580,Spain,1/17/2025,12000.0,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL
GRANADA, S.C.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 15,000 was reduced to EUR 12,000 due to voluntary payment.",malicious_kw,cyber_malicious,High,
2583,Spain,1/17/2025,12000.0,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DE ASTURIAS,
S.C.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 15,000 was reduced to EUR 12,000 due to voluntary payment.",malicious_kw,cyber_malicious,High,
1564,Ireland,12/22/2022,100000.0,Industry and Commerce,Non-compliance with general data processing principles,"The Irish DPA has imposed a fine of EUR 100,000 on the nursing home operator VIEC Limited. 
The controller had notified the DPA of a data breach pursuant to Art. 33 GDPR. The controller had suffered a phishing attack in which an unauthorized third party gained access to an email account of a VIEC manager. As a result, the unknown third party also managed to access personal data such as health and biometric data of home residents. The DPA found this to be a breach of the principle of integrity and confidentiality. The DPA also found that the controller had failed to implement appropriate technical and organizational measures to protect personal data.",malicious_kw,cyber_malicious,High,phishing
2532,Spain,12/27/2023,6500000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 6.5 million on THE PHONE HOUSE SPAIN, S.L. The controller had suffered a ransomware attack affecting personal data of 13 million individuals (e.g. customers and employees), which was exfiltrated and published on the deep web. The DPA's investigation revealed that the controller had failed to implement appropriate technical and organisational measures to protect personal data, in order to prevent such an incident.",malicious_kw,cyber_malicious,High,ransomware
1625,Cyprus,2022,7500.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 7,500 on DW Dynamic Works LIMITED. The controller operated as a processor for the Cypriot Ministry of Denfese. The minsitry had suffered a cyberattack which, according to the DPA, was caused, among other things, by Dynamic Works' lack of technical and organizational measures to protect personal data.",malicious_kw,cyber_malicious,High,processor blamed for ministry cyberattack
1929,Poland,5/16/2023,6700.0,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 6,700 on a municipality. The controller had reported a data breach to the DPA. During its investigation, the DPA found that the controller had suffered a ransomware attack, in which the attackers took advantage of a vulnerability present in the IT system. The DPA found that the controller had failed to install adequate technical and organizational measures to protect personal data, allowing such an attack to occur.",malicious_kw,cyber_malicious,High,ransomware
927,Lithuania,11/29/2021,110000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Lithuanian DPA has fined UAB Prime Leasing, the operator of the short-term car rental platform CityBee, EUR 110,000. The DPA conducted the investigation on its own initiative after information about a possible personal data breach (Art. 33 GDPR) of the company's customers became public in February 2021. According to the company, they learned about the security breach from another cybersecurity service provider who informed them that the customer data of 110,302 CityBee users had been published on the website of the hacking forum RaidForums.com. This included data such as names, addresses, phone numbers, email addresses, personal identification numbers, driver's license numbers, type of payment card and the last four digits of the card number of the data subjects. 

The DPA's investigation revealed that the published data originated from an unsecured backup copy of a database. 

The DPA found that the data breach occurred due to the company's failure to comply with its obligation to implement technical and organizational measures to ensure a level of security appropriate to the risk to data subjects. 

The company had, for example, failed to appoint a person with appropriate competence to be responsible for security and risk management.  It had also failed to ensure that accesses to database files were logged and evaluated. 
In addition, the company had stored the database unencrypted, so that a person with technical knowledge could have had full access to the data in the file after downloading it. The personal codes in the database were furthermore stored unprotected and the passwords in the database were only encrypted with an encryption algorithm that was considered insecure.",malicious_kw,cyber_malicious,Medium,"root cause unsecured backup, but data stolen & posted on hacking forum"
552,Ireland,12/17/2020,70000.0,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Irish DPA (DPC) fined University College Dublin (UCD) EUR 70,000 due to seven personal data breaches. Unauthorized third parties were able to access UCD e-mail accounts, and login credentials for UCD e-mail accounts were posted online.  It was found that the controller did not take appropriate technical and organisational measures to protect data security when processing personal data in its email service.  In addition, the controller stored certain personal data in an email account in a form that allowed identification of the data subjects for longer than necessary for the purpose for which the personal data were processed. Also, the controller did not notify the DPC of a personal data breach in a timely manner.",malicious_kw,cyber_malicious,High,"account compromise, credentials posted online"
1666,Ireland,1/23/2023,460000.0,Health Care,Non-compliance with general data processing principles,"The Irish DPA has imposed a fine of EUR 460,000 on Centric Health Ltd.. The controller suffered a ransomware attack in which personal data such as name, date of birth and contact details were accessed, altered and destroyed without authorization. Data records of approximately 70,000 people were affected, of which 2,500 were permanently affected. 

The DPA's investigation found that the healthcare facility had failed to implement adequate technical and organizational measures to protect personal data, which facilitated such an attack.",malicious_kw,cyber_malicious,High,ransomware
620,Italy,3/25/2021,4500000.0,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Italian DPA (Garante) has fined Fastweb S.p.A. EUR 4,500,000 for aggressive telemarketing. Following a complex preliminary investigation launched after hundreds of reports and complaints from users, the DPA finds that the controller illegally processed the personal data of millions of users for telemarketing purposes.

Namely, the call centers working for Fastweb largely acted in disregard of data protection regulations. They often used telephone numbers for their calls that were not registered in the Italian register for communications operators (Registro degli Operatori di Comunicazione). 
Moreover, they processed contact data for promotions Fastweb had received from external partners without the data subjects having given valid consent for their data to be shared. 

In addition, many users reported being contacted by ""self-proclaimed Fastweb operators"" who attempted to obtain contractors' identity documents via WhatsApp, likely for the purpose of spamming, phishing and other fraudulent activities. 

Other breaches involved procedures for the ""call me back"" service that made it impossible for users to give free, specific and informed consent and to deactivate the service in an automated manner.",malicious_kw,not_cyber,High,illegal telemarketing
2841,Romania,9/1/2025,10000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 10,000 on La Fântâna S.R.L. The controller suffered a cyber attack due to insufficient technical and organisational measures to ensure data security.",malicious_kw,cyber_malicious,High,
2041,Spain,9/26/2023,30000.0,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 30,000 on EUROPA PRESS DE CATALUNYA, S.A.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",malicious_kw,not_cyber,High,same rape-testimony media case
3101,Croatia,7/22/2025,50000.0,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Croatian DPA has imposed a fine of EUR 50,000 on an information communication company. The controller suffered a cyber attack due to insufficient technical and organisational measures to ensure information security. Following the incident, the company implemented these measures and cooperated adequately with the supervisory authority.",malicious_kw,cyber_malicious,High,
2577,Spain,1/17/2025,10000.0,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL NTRA. SRA. DEL
ROSARIO. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 12,000 was reduced to EUR 10,000 due to voluntary payment.",malicious_kw,cyber_malicious,High,
2578,Spain,1/17/2025,8000.0,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL NTRA
MADRE DEL SOL S.C.A.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 10,000 was reduced to EUR 8,000 due to voluntary payment.",malicious_kw,cyber_malicious,High,
25,Germany,11/21/2018,20000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"After a hacker attack in July personal data of approx. 330.000 users, including passwords and email addresses had been revealed.",malicious_kw,cyber_malicious,High,
3019,Greece,12/31/2025,5000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Greek DPA has imposed a fine of EUR 5,000 on REVMA PLUS Retail S.A.. The fined entity is the processor of Thessaloniki–Thessaly Gas Supply Company S.A. (ETid-3016). The processor, a call center involved in direct marketing activities, suffered a technical error in its system that prevented operators from calling data subjects that had not given their consent for direct marketing calls. The processor also failed to inform the controller of the technical error.",nonmal_kw,not_cyber,Medium,"technical error caused unlawful marketing calls, not a data-security incident"
2740,Spain,6/4/2025,21000.0,Employment,Non-compliance with general data processing principles,"The Spanish DPA imposed a fine of EUR 21,000 on ALVEA SOLUCIONES TECNOLÓGICAS, S.L. The controller processed job applicants' data using publicly accessible Google Forms. The original fine of EUR 35,000 was reduced to EUR 21,000 due to immediate payment and admission of responsibility by the controller.",nonmal_kw,cyber_nonmalicious,High,public Google Forms exposure
62,Romania,7/5/2019,3000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The fine was imposed because adequate technical and organizational measures to ensure a level of security appropriate to the risk of processing were not implemented. This has led to unauthorized disclosure and unauthorized access to the personal data of people who have made transactions received by the avocatoo.ro website (name, surname, mailing address, email, phone, job, details of transactions made), due to publicly accessible documents between 10th of December 2018 and 1st of February 2019.

The National Supervisory Authority applied the sanction following a notification dated 12th of October 2018 indicating that a set of files regarding the details of the transactions received by the avocatoo.ro website which contained the name, surname, address correspondence, email, telephone, job and details of transactions made, was publicly accessible through two links.",nonmal_kw,cyber_nonmalicious,High,files publicly accessible
2045,Romania,9/26/2023,25000.0,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 25,000 on RESTART ENERGY ONE S.A.. During its investigation, the DPA found that there existed a publicly accessible file on the controller's website containing personal data (name, surname, address, telephone numbers, email addresses, contract number and contract date) of at least 750 data subjects. The file was publicly accessible via a link generated by search engines for a period of approximately 2.5 years. The DPA concluded that the controller had failed to implement appropriate technical and organizational measures to protect personal data.",nonmal_kw,cyber_nonmalicious,High,"public file, 2.5 years"
251,Hungary,5/21/2019,286.0,Public Sector and Education,Insufficient fulfilment of data breach notification obligations,"The employee of the Directorate sent by mistake 9 letters to the wrong recipient, which contained personal data of 18 data subjects (including data of children, criminal data and data related to the private life of the data subjects). The recipient informed the Directorate by telephone 5 days after the posting that it received certain letters by mistake. The Directorate notified NAIH on the data breach only weeks later.",nonmal_kw,cyber_nonmalicious,High,letters to wrong recipient; fined for late notification
1495,Romania,11/16/2022,28000.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 28,000 on Raiffeisen Bank SA. 
The bank had reported several data breaches pursuant to Art. 33 GDPR to the DPA.

During its investigation, the DPA found that the bank conducted queries in a credit agency without the consent of the data subjects. 

In addition, the DPA found that the bank had granted credit to several customers without the affected customers having applied for it. 

Furthermore, the bank had inadvertently sent personal data of data subjects to wrong recipients, allowing them to access the data. 

The DPA found that the bank had failed to implement adequate technical and organizational measures to protect personal data. This resulted in unauthorized access and/or disclosure of personal data.",nonmal_kw,cyber_nonmalicious,Medium,mixed: unlawful credit-agency queries + misdirected mail
718,Sweden,6/7/2021,1200000.0,Health Care,Non-compliance with general data processing principles,"The Swedish DPA has imposed a fine of EUR 1,200,000 on MedHelp AB. The fine is related to an investigation against three companies and three Swedish regions. 

In all 21 regions of Sweden, a telephone hotline that offers advice on various health-related topics can be reached by dialing 1177. Each region operates its own health advice service, either internally or through contracted subcontractors, but together they form a national network.
In 2019, the media reported that recorded calls to the 1177 helpline were available on a web server without password protection or other security measures. 
All calls to the 1177 number initially went to the company Inera, which managed and developed the shared systems. Calls to the number 1177 from people living in the Stockholm, Sörmland and Värmland regions were put through by Inera to Medhelp AB, which took the calls. Medhelp had in turn contracted the Thai company Medicall Co Ltd. to take calls on weekends and at night. Both Medhelp and Medicall had a contract with the technology company Voice Integrate Nordic AB for, among other things, call recordings. A data breach had then occurred in which recordings of calls to the number 1177 were available on the Internet on a storage server belonging to Voice Integrate. 
The incident resulted from the misconfiguration of a network-attached storage device that was publicly accessible over the Internet and did not use encrypted communications. A large number of calls were accessed due to the vulnerability. 

The Swedish DPA found that MedHelp had failed to take appropriate technical and organizational measures to ensure an adequate level of security to protect personal data so that unauthorized persons could not access it. Similarly, MedHelp had failed to properly inform callers about the processing of their personal data in accordance with Art. 13 GDPR. 

In addition, the DPA finds the outsourcing of the processing of personal data to Medicall to be a breach of the legality principle set out in the GDPR. This is because Medicall is not covered by Swedish health and medical legislation and is therefore not subject to the legally regulated confidentiality obligation that exists in the Swedish healthcare sector.",nonmal_kw,cyber_nonmalicious,High,misconfigured NAS exposed call recordings
707,Italy,4/15/2021,12000.0,Public Sector and Education,Insufficient fulfilment of data subjects rights,"The Italian DPA (Garante) has imposed a fine of EUR 12,000 on the Italian National Institute for Social Security (Istituto Nazionale della Previdenza Sociale). That fine was based on the fact that the controller failed to respond properly to two requests for information that the data subject had submitted to the controller. The requests were related to the disclosure of personal data of the data subject to third parties. Initially, the data subject had received no response to either request. In the course of the investigation, the controller then provided him with information and explained that the previous requests had not been answered due to a technical error in its e-mail system",nonmal_kw,not_cyber,High,access-request failure
1011,Finland,12/16/2021,6500.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Finnish DPA has imposed a fine of EUR 6,500 on a travel agency. 

A customer of the travel agency informed the DPA to suspect that the company might not process the data of its customers in a data protection compliant manner. During its investigation, the DPA found that the travel agency had not ensured secure processing of personal data. For example, visa application forms filled out by customers were publicly accessible on the travel agency's web server. 
The form contained, among other things, the name, contact details and passport number.

In addition, the travel agency had not complied with a customer's request to delete their data from the systems.",nonmal_kw,cyber_nonmalicious,High,visa forms exposed on web server
3008,Slovenia,11/21/2025,16650.0,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Slovenian DPA has imposed a fine of EUR 16,650 on a legal entity. The controller stored personal data on a publicly accessible web server without taking sufficient technical and organisational measures. The server could be accessed via a unique URL without additional safeguards, such as a password login. The entity was fined EUR 16,250, and the person responsible was fined EUR 400.",nonmal_kw,cyber_nonmalicious,High,unprotected URL
2574,Spain,2/25/2025,600000.0,Individuals and Private Associations,Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on IBERMUTUA, MUTUA COLABORADORA CON LA SEGURIDAD SOCIAL NUM.274. Due to a technical error in its online platform, personal data, including health information, of 3,395 individuals was unlawfully transferred to 354 recipients. The DPA found that the controller had failed to implement appropriate technical and organisational measures to protect personal data that could have prevented such an incident. The original fine of EUR 1 million was reduced to EUR 600,000 due to voluntary payment and admission of responsibility.",nonmal_kw,cyber_nonmalicious,High,technical error mass-misdirected data
681,Poland,4/22/2021,245000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Polish DPA (UODO) has fined Cyfrowy Polsat S.A. EUR 245,000. The fine was based on a large number of data breaches reported by the controller to the DPA. Frequently, postal correspondence containing personal data was lost or delivered to the wrong recipient. The DPA notes that although the data breaches were caused by the courier company contracted by the controller, the controller had to ensure that such breaches did not occur. The controller failed to implement technical and organizational measures appropriate to the risk to protect the processing of the data. Furthermore, the controller did not notify the data subjects about the data breaches until two to three months later.",nonmal_kw,cyber_nonmalicious,High,lost/misdelivered post
1740,Italy,3/23/2023,4000.0,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has imposed a fine of EUR 4,000 on Azienda socio-sanitaria locale n. 1 di Sassari. The controller had mistakenly sent a document containing health data of the data subject to the wrong recipient. The DPA found that the healthcare facility had not taken sufficient technical and organizational measures to protect personal data.",nonmal_kw,cyber_nonmalicious,High,wrong recipient
715,Sweden,6/7/2021,25000.0,Health Care,Insufficient fulfilment of information obligations,"The Swedish DPA has imposed a fine of EUR 25,000 on Region Sörmland. The fine is related to an investigation against three companies and three Swedish regions. 

In all 21 regions of Sweden, a telephone hotline that offers advice on various health-related topics can be reached by dialing 1177. Each region operates its own health advice service, either internally or through contracted subcontractors, but together they form a national network.
In 2019, the media reported that recorded calls to the 1177 helpline were available on a web server without password protection or other security measures. 
All calls to the 1177 number initially went to the company Inera, which managed and developed the shared systems. Calls to the number 1177 from people living in the Stockholm, Sörmland and Värmland regions were put through by Inera to Medhelp AB, which took the calls. Medhelp had in turn contracted the Thai company Medicall Co Ltd. to take calls on weekends and at night. Both Medhelp and Medicall had a contract with the technology company Voice Integrate Nordic AB for, among other things, call recordings. A data breach had then occurred in which recordings of calls to the number 1177 were available on the Internet on a storage server belonging to Voice Integrate. 
The incident resulted from the misconfiguration of a network-attached storage device that was publicly accessible over the Internet and did not use encrypted communications. A large number of calls were accessed due to the vulnerability. 

The DPA imposed the fine on Region Sörmland  for collecting call data from data subjects without first properly informing them of its processing.",nonmal_kw,cyber_nonmalicious,High,same 1177 exposure; fined for information obligations
1403,Romania,9/19/2022,2000.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 2,000 on Banca Comercial? Român? SA. 

The bank had notified the DPA of a data breach pursuant to Art. 33 GDPR. 

Due to an error in the IT application of the controller, emails containing personal data of customers were sent to the wrong recipients. 
This data breach resulted in the unauthorized disclosure of and access to certain personal data such as first and last name, home address, phone number, email address, and financial information. The incident affected 564 individuals. 

The DPA found that the bank had failed to take appropriate technical and organizational measures to ensure a level of security commensurate with the processing risk.",nonmal_kw,cyber_nonmalicious,High,"IT error, emails to wrong recipients"
115,Romania,11/25/2019,11000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The fine was imposed because the controller failed to take appropriate technical and organisational measures leading to the loss and unauthorised access to personal data (name, bank card number, CVV code, cardholder's address, personal identification number, serial and identity card number, bank account number, authorised credit limit) of approximately 1,100 data subjects.",ambiguous_kw,unclear,Medium,"""loss and unauthorised access"" — cause unspecified"
2896,Romania,10/13/2025,5000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 5,000 on Vellea Home SRL. The controller failed to implement adequate technical and organisational measures, resulting in a data breach.",ambiguous_kw,unclear,Medium,"""data breach"", type unspecified"
1808,Poland,2/8/2023,7200.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 7,200 on a company. The controller had suffered a data breach that resulted in the loss of personal data. During its investigation, the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data, which facilitated the data breach. The controller had failed to conduct certain risk analyses, for example. In addition, the DPA found that the controller failed to review its processor and ensure that it provided sufficient guarantees to protect personal data.",ambiguous_kw,cyber_nonmalicious,Medium,"""loss of personal data"", cause vague"
2629,Germany,2024,60000.0,Health Care,Insufficient technical and organisational measures to ensure information security,"The DPA of Berlin imposed a fine of EUR 60,000 on a healthcare company. The company offers practice management software that includes a patient communication portal with insufficient technical and organizational measures to ensure data protection. The total amount of the fine was reduced because no data breach was found and the company cooperated with the DPA.",ambiguous_kw,cyber_nonmalicious,High,insecure design only — no actual breach occurred
