ETid,Country,Date of Decision,Fine (EUR),Sector,Type of Violation,Summary,stratum,manual_label,confidence,notes
1648,Italy,4/7/2022,10000,Health Care,Non-compliance with general data processing principles,"The Italian DPA has fined Tecnomed Trento s.r.l. EUR 10,000. The controller had operated several video surveillance cameras in its premises, some of them without the required authorization. Furthermore, the DPA found that information signs regarding the processing of personal data by the cameras were missing. The DPA also found that three individuals with shared credentials had authorized access to the recorded images. The DPA concluded that this circumstance was not appropriate to guarantee the confidentiality of the information processed by the video surveillance system, in particular it does not allow to check who carried out certain processing operations.",malicious_kw,not_cyber,High,CCTV + shared-credential authorization issue
2655,Spain,3/14/2025,3200000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA imposed a fine of EUR 3,200,000 on CENTROS COMERCIALES CARREFOUR, S.A. The controller suffered a cyberattack, resulting in the leak of a large amount of personal data. The controller failed to implement sufficient technical and organizational measures to ensure data security. Additionally, the notification of the data subjects in regards to the data breach was insufficient.",malicious_kw,cyber_malicious,High,cyberattack
991,Italy,12/2/2021,7000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA (Garante) has fined SocietÃ  Med Store Saronno s.r.l. EUR 7,000. The nursing home notified the DPA of a data breach pursuant to Art. 33 GDPR. The facility had suffered a cyber attack by a hacker who gained access to personal data and published it. This included publishing radiological images of patients on his Twitter account. The DPA's investigation revealed that the home had only secured the data with simple passwords. For this reason, the DPA found that the home had failed to implement appropriate technical and organizational measures to ensure a level of protection commensurate with the risk.",malicious_kw,cyber_malicious,High,hacker published patient images
2685,Romania,1/3/2025,2000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 2,000 on Unirea Medical Center S.R.L. The controller publicly exposed the access credentials for a data subject's email account on a workstation.",malicious_kw,cyber_nonmalicious,Medium,credentials exposed on a workstation; no attacker
749,Luxembourg,6/11/2021,7600,Employment,Non-compliance with general data processing principles,"The DPA from Luxembourg (CNPD) has imposed a fine of EUR 7,600 on a company. This company had installed a video surveillance system for the purpose of protecting the company's assets, preventing intrusion by unauthorized persons and preventing accidents. However, two of the cameras also covered parts of a public street and six of the cameras covered the workplaces of some employees 
The DPA states that the recording of the employees and the public street was not necessary to ensure the purposes associated with the video surveillance and was therefore disproportionate. The DPA finds that the controller thus breached the principle of data minimization under Article 5(1)(c) of the GDPR.
In addition, the DPA found that the controller had not complied with its information obligations under Article 13 GDPR.",malicious_kw,not_cyber,High,CCTV over public street/workplaces
536,France,1/27/2021,75000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The French DPA (CNIL) fined a company and its subcontractor EUR 150,000 and EUR 75,000 for failing to take sufficient measures against credential stuffing attacks on the company's website.

Between June 2018 and January 2020, the CNIL received several notifications of personal data breaches related to a website where several million customers regularly shop. In response, the CNIL decided to investigate the company and its subcontractor entrusted with the management of this website.

In the course of its investigations, the CNIL found that the website in question had been subjected to numerous waves of credential stuffing attacks. In this type of attack, a malicious person obtains lists of ""unencrypted"" identifiers and passwords published on the Internet, usually after a data breach. Assuming that users frequently use the same password and username (email address) for different services, the attacker will use ""bots"" to try to log in to a large number of websites. If the authentication is successful, this will allow the attacker to see the information associated with those accounts.

The CNIL found that the attackers were able to obtain the following information: Surname, first name, email address and date of birth of customers, as well as their loyalty card number and balance, and information related to their orders.

The CNIL considers that the two companies had breached their obligation to maintain the security of customers' personal data under Article 32 of the GDR.

In fact, the companies took slow action to effectively combat these repeated attacks. They had decided to focus their response strategy on developing a tool to detect and block attacks launched by robots. However, the development of this tool took a year from the first attacks. In the meantime, however, a number of other measures with faster impact could have been considered to prevent further attacks or mitigate the negative impact on individuals. As a result of this lack of diligence, the data of approximately 40,000 website customers was made available to unauthorized third parties between March 2018 and February 2019.",malicious_kw,cyber_malicious,High,credential stuffing
2875,Spain,9/4/2025,180000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 180,000 on Sociedad de GestiÃ³n de Activos Procedentes de la ReestructuraciÃ³n Bancaria S.A. The controller suffered a cyber attack due to insufficient technical and organisational measures. The controller also used a third party data processor with which the controller had no sufficient data processing agreement. The original fine of EUR 300,000 was reduced to EUR 180,000 due to immediate payment and admission of responsibility by the controller.",malicious_kw,cyber_malicious,High,cyber attack
2972,United Kingdom,11/20/2025,1400000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The UK DPA has imposed a fine of Â£ 1,228,283 (EUR 1,400,000) on LastPass UK Ltd. The controller suffered a succesfull cyber attack due to insufficient technical and organisational measures to ensure data security.",malicious_kw,cyber_malicious,High,cyber attack (LastPass)
3189,Spain,3/11/2026,650000,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 650,000 on IBERIA LÃNEAS AÃ‰REAS DE ESPAÃ‘A, S.A. OPERADORA. The controller suffered a data breach due to insufficient technical and organisational measures. The incident occurred after an attacker accessed and exfiltrated the personal data of data subjects from a data processor's system. The breach occurred due to two known vulnerabilities for which the software manufacturer had provided patching options for a long time; however, the controller did not implement these.",malicious_kw,cyber_malicious,High,attacker exfiltrated via unpatched vulnerabilities
1461,United Kingdom,10/19/2022,5033000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The British DPA has fined the construction group Interserve Group Limited EUR 5,033,000. The controller had notified the DPA of a data breach pursuant to Art. 33 GDPR. 
Interserve had suffered a cyber attack in which the attackers sent a phishing mail to the mailbox of Interserve's accounting team. The mail was opened by an employee who also downloaded and opened an attached zip file. This allowed the attackers to install malware and siphon off personal data from 113,000 employees. The siphoned data contained bank account information, social security numbers, ethnicity, sexual orientation and religion of the data subjects, among other things. 

The DPA's investigation found that inadequate security measures allowed the attack to occur. 

Interservere employees, for example, had not been adequately trained on data privacy. 

In addition, Interserve processed personal data on unsupported operating systems that were no longer subject to security updates to address vulnerabilities in the system. Also, Interserve had not conducted adequate vulnerability scans. Finally, Interserve's information security team had not sufficiently investigated the attack as antivirus software reported that the malware had been removed.",malicious_kw,cyber_malicious,High,phishing + malware
2581,Spain,1/17/2025,8000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DE
BAENA NTRA. SRA. DE GUADALUPE, S.C.C.A.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 10,000 was reduced to EUR 8,000 due to voluntary payment.",malicious_kw,cyber_malicious,High,cyber attack
1712,Spain,3/21/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on DISPLAY CONNECTORS, S.L.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites as well as on Twitter to report on the case. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",malicious_kw,not_cyber,High,rape-testimony media case
2537,Spain,1/17/2025,16000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DEL
SUR, S.C.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 20,000 was reduced to EUR 16,000 due to voluntary payment.",malicious_kw,cyber_malicious,High,cyber attack
2508,Spain,9/26/2024,1300000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 1.3 million on TELEFÃ“NICA DE ESPAÃ‘A SAU. The controller had reported a security incident to the DPA, stating that they had suffered a cyber attack that allowed unauthorised third parties to access personal customer data via an employee's account. During its investigation, the DPA found that the controller had failed to implement appropriate technical and organisational measures to protect personal data that could have prevented such an incident. The fine is composed as follows: EUR 500,000 for the violation of Art. 5 (1) f) GDPR and EUR 800,000 for the violation of Art. 32 GDPR.",malicious_kw,cyber_malicious,High,cyber attack via employee account
440,United Kingdom,11/13/2020,1405000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"Ticketmaster UK Limited has been fined GBP 1.25 million (approximately EUR 1.405 million) for failing to protect the personal data of its customers with adequate security measures. Potentially 9.4 million European customers could have been affected by a cyber attack between February 2018 and June 23, 2018 due to the use of an insufficiently secured chat bot hosted by a third party in its online payment site which allowed an attacker to gain access to customers' financial information. According to the Data Protection Agency, personal data such as names, full payment card numbers, Ticketmaster usernames and passwords, expiration dates and Card Verification Value (CVV) numbers were affected. The DPA also found that 60,000 payment cards belonging to Barclays Bank customers were subject to fraud, and several international banks also reported fraudulent activity to Ticketmaster.",malicious_kw,cyber_malicious,High,cyber attack (Ticketmaster)
1961,Poland,5/31/2023,10600,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 10,600 on a company. The company had suffered a ransomware attack on their systems which resulted in the loss of personal data. During its investigation the DPA found that the company had failed to install adequate technical and organizational measures to protect personal data, allowing such an attack to occur. Furthermore the controller failed to inform the DPA and the data subject of the incident in a timely manner.",malicious_kw,cyber_malicious,High,ransomware
1736,Spain,4/3/2023,50000,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine of EUR 50,000 on 20 MINUTOS EDITORA, S.L.. Several media outlets, including the controller had published an audio recording of a multiple rape victim's testimony in court on their websites. The case had attracted a lot of media attention. During its investigation, the DPA determined that the rape victim's right to privacy outweighed the controller's freedom of information. The audio recordings of the victim did not add any significant value to the reporting, but rather severely compromised the victim's privacy. For this reason, the DPA found that the controller violated the principle of data minimization.",malicious_kw,not_cyber,High,rape-testimony media case
1619,Cyprus,2022,5000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Cypriot DPA has imposed a fine of EUR 5,000 on DW Dynamic Works LIMITED. The controller operated as a processor for Hermes Airport Ltd.. Hermes had suffered a cyberattack which, according to the DPA, was caused, among other things, by Dynamic Works' lack of technical and organizational measures to protect personal data.",malicious_kw,cyber_malicious,High,processor blamed for Hermes cyberattack
2566,United Kingdom,4/14/2025,70300,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The UK DPA (ICO) has imposed a fine of Â£ 60,000 (EUR 70,300) on the law firm DPP Law Ltd. The controller had suffered a cyber attack during which personal data of 791 clients and expert witnesses were exfiltrated and published on the dark web.

The DPA found that the controller failed to implement adequate technical and organisational measures to prevent such an attack, including the failure to regularly audit administrative accounts on its network, thereby infringing Art. 5 (1) f), 32 (1), and 32 (2) UK GDPR.

The controller also breached Art. 33 (1) UK GDPR by failing to notify the DPA within 72 hours, reporting the incident only 43 days later.",malicious_kw,cyber_malicious,High,"exfiltrated, published on dark web"
2605,Croatia,3/24/2025,20000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Croatian DPA (AZOP) imposed a fine of EUR 20,000 on a hospital for failing to implement adequate technical and organizational measures to protect personal data in line with Art. 32 (1) (b) and (d), and Art. 32 (2) GDPR. Following a cyberattack, it was revealed that over a period of seven days, at least 3 GB of personal data had been unlawfully copied from the system. The attacker allegedly gained access through social engineering and a VPN connection, exploited an outdated operating system, and obtained domain administrator rights. In addition to the data breach, numerous servers were locked, backups were deleted, and unauthorized executable files were launched. AZOP found that key security measures such as access restrictions, monitoring, incident response, and corrective actions were either missing or insufficient, which significantly contributed to the success of the attack.",malicious_kw,cyber_malicious,High,social engineering + VPN attack
112,Czech Republic,Unknown,980,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The operator of an online game was exposed to several DDoS attacks which caused the malfunctioning of the servers. The attacker blackmailed the operator stating that the attacks will not stop unless he pays money. As part of the blackmail, the attacker offered the operator that he will create an upgraded and better firewall protection to the servers of the operator. The operator agreed and paid the attacker. The operator implemented the new code from the attacker which proved better than the old one but there was a ""backdoor"" in the code. The attacker used the backdoor to steal all the data from the server about the players and uploaded these details to his website. The Office for Personal Data Protection concluded that the operator did not take apropriate security measures.",malicious_kw,cyber_malicious,High,DDoS blackmail + backdoor data theft
2554,Spain,1/17/2025,76000,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on CAJA RURAL DE GIJÃ“N, S.C.A.C.. The controller had suffered a cyber attack in which the attackers were able to access customer data due to a security vulnerability in its systems. The DPA found that the company had failed to implement the necessary security measures that could have prevented such an incident. The original fine of EUR 95,000 was reduced to EUR 76,000 due to voluntary payment.",malicious_kw,cyber_malicious,High,cyber attack
2914,Spain,9/17/2025,1500000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 1,500,000 on SERVICIOS FINANCIEROS CARREFOUR, E.F.C. The controller suffered a successfull cyberattack due to insufficient technical and organisational measures. The original fine of EUR 2,500,000 was reduced to EUR 1,500,000 due to immediate payment and admission of responsibility by the controller.",malicious_kw,cyber_malicious,High,cyberattack
1001,Luxembourg,12/1/2021,6800,Employment,Non-compliance with general data processing principles,"The DPA from Luxembourg (CNPD) has imposed a fine of EUR 6,800 on a company. The company had installed a video surveillance system to protect the company's assets, prevent intrusion by unauthorized persons and prevent accidents. However, the cameras also captured parts of an employee's work area, the smoking area that employees frequently used and parts of the public space. The DPA states that the controller thus violated the principle of data minimization under Art. 5 (1) c) of the GDPR. Furthermore, the DPA found a violation of the information obligations set out in Art. 13 GDPR, by not properly informing its employees and third parties about the video surveillance.",malicious_kw,not_cyber,High,CCTV
3026,France,1/22/2026,5000000,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The French DPA has imposed a fine of EUR 5,000,000 on FRANCE TRAVAIL. The controller suffered a successful cyber attack due to insufficient technical and organisational measures, resulting in the leak of personal and special category data concerning 38,820,828 individuals. The attack was carried out using the 'social engineering' method, meaning that the attacker obtained goods or information by exploiting the trust, ignorance or credulity of third parties.",malicious_kw,cyber_malicious,High,social engineering attack
2890,Romania,9/25/2025,20000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 20,000 on S.C. PRIMONET RO S.R.L. The controller failed to implement adequate technical and organisational measures to ensure data security. This resulted in a cyber attack that compromised the bank details of customers and caused financial losses.",malicious_kw,cyber_malicious,High,cyber attack compromised bank details
1919,Romania,6/27/2023,2500,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 2,500 on Farmacia Ardealul SRL. The controller had reported a data breach to the DPA. During its investigation, the DPA found that an unauthorized installation of malware on the controller's website led to unauthorized processing of customer data (bank data). The DPA found that the controller had failed to install appropriate technical and organizational measures to protect personal data.",malicious_kw,cyber_malicious,High,malware installed on website
2919,Romania,11/7/2025,7000,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 7,000 on Klass Wagen S.R.L. The controller suffered a cyber incident due to a former employee exposing the login credentials of colleagues to access the contract management software. The controller also failed to take immediate action due to internal delays.",malicious_kw,cyber_malicious,Medium,insider - former employee exposed colleagues' credentials
2953,Romania,11/27/2025,2000,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"Thr Romanian DPA has imposed a fine of EUR 2,000 on Ni?u A. Cleopatra â€“ Expert Accountant. The controller was the target of a successful cyber attack due to the inadequate technical and organisational measures in place to ensure data security.",malicious_kw,cyber_malicious,High,successful cyber attack
38,Hungary,4/5/2019,34375,Public Sector and Education,Insufficient fulfilment of data breach notification obligations,"NAIH imposed a fine of HUF 11,000,000 (EUR 34,375) on an undisclosed Hungarian political party for failing to notify the NAIH and relevant individuals about a data breach, and failing to document the breach according to GDPR Article 33.5. As mandated by law, the fine was based on 4% of the party's annual turnover and 2.65 % of its anticipated turnover for the coming year.

The breach was the result of a cyber attack by an anonymous hacker who accessed and disclosed information on the vulnerability of the organisationâ€™s system â€“ a database of more than 6,000 individuals â€“ and the command used for the attack. The system was vulnerable to attack because of a redirection problem with the organisation's webpage. After the attacker published the command, even people with low IT knowledge were able to retrieve information from the database.",malicious_kw,cyber_malicious,High,hacker attack on political party
1501,Romania,11/24/2022,1000,Health Care,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 1,000 on Medicover S.R.L.. The controller had reported a data breach to the DPA pursuant to Art. 33 GDPR. The controller had inadvertently sent documents containing personal data to the wrong recipient. As a result, personal data such as the data subject's name, correspondence address, e-mail and health data were disclosed without authorization. The DPA determined that the incidents were due to the controller's failure to implement appropriate technical and organizational measures to protect the processing of personal data.",nonmal_kw,cyber_nonmalicious,High,documents to wrong recipient
1377,Romania,8/29/2022,1000,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 1,000 on Alpha Bank Romania SA. The bank had accidentally sent a document to the wrong recipient via WhatsApp. The document contained personal data of four data subjects, such as first and last names and information on loans and contracts. During its investigation, the DPA found that the bank had failed to implement sufficient technical and organizational measures to protect personal data.",nonmal_kw,cyber_nonmalicious,High,document to wrong recipient via WhatsApp
719,Sweden,6/7/2021,64500,Health Care,Insufficient technical and organisational measures to ensure information security,"The Swedish DPA has imposed a fine of EUR 64,500 on Voice Integrate Nordic AB. The fine is related to an investigation against three companies and three Swedish regions. 

In all 21 regions of Sweden, a telephone hotline that offers advice on various health-related topics can be reached by dialing 1177. Each region operates its own health advice service, either internally or through contracted subcontractors, but together they form a national network.
In 2019, the media reported that recorded calls to the 1177 helpline were available on a web server without password protection or other security measures. 
All calls to the 1177 number initially went to the company Inera, which managed and developed the shared systems. Calls to the number 1177 from people living in the Stockholm, SÃ¶rmland and VÃ¤rmland regions were put through by Inera to Medhelp AB, which took the calls. Medhelp had in turn contracted the Thai company Medicall Co Ltd. to take calls on weekends and at night. Both Medhelp and Medicall had a contract with the technology company Voice Integrate Nordic AB for, among other things, call recordings. A data breach had then occurred in which recordings of calls to the number 1177 were available on the Internet on a storage server belonging to Voice Integrate. 
The incident resulted from the misconfiguration of a network-attached storage device that was publicly accessible over the Internet and did not use encrypted communications. A large number of calls were accessed due to the vulnerability. 

The Swedish DPA found that Voice Integrate had failed to take appropriate technical and organizational measures to ensure an adequate level of security to protect personal data so that unauthorized persons could not access it.",nonmal_kw,cyber_nonmalicious,High,1177 case - misconfigured NAS
2109,Italy,9/28/2023,5000,Public Sector and Education,Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 5,000 on Ministero dell'Ambiente e della Sicurezza Energetica. The controller had published a document on its website that contained numerous data, including employee health data, without a valid legal basis. The document was publicly accessible for 16 days.",nonmal_kw,cyber_nonmalicious,Low,health data publicly accessible 16 days; borderline unlawful publication
2108,Italy,9/28/2023,50000,Health Care,Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 50,000 on Azienda Usl Toscana centro. A person had reported that medical records containing sensitive patient data were still being stored in one of the healthcare facility's former and vacant buildings which were publicly accessible.",nonmal_kw,cyber_nonmalicious,Medium,records left in publicly accessible vacant building (physical)
741,Poland,6/21/2021,35300,"Finance, Insurance and Consulting",Insufficient fulfilment of data breach notification obligations,"The controller had sent an email to  that contained personal data of a customer to the wrong recipient. The leaked data included data such as the name, postal address of the data subject and insurance details. In this context the controller had not informed either the Polish DPA nor the data subjects about the data breach in a timely manner within 72 hours.",nonmal_kw,cyber_nonmalicious,High,email to wrong recipient
897,Greece,10/4/2021,5000,Industry and Commerce,Insufficient fulfilment of data subjects rights,"The Hellenic DPA has imposed a fine of EUR 5,000 on the company PREMIUMMEDIA ???????? ??????-?????????? ????? ???????? ????????????? ???????. An individual had attempted to unsubscribe from the company's newsletter mailing list, but failed to do so. The failure to unsubscribe from the lists resulted from an internal technical error of the company.",nonmal_kw,not_cyber,High,unsubscribe failure (subject rights)
1268,Greece,7/13/2022,20000000,Industry and Commerce,Non-compliance with general data processing principles,"The Hellenic DPA has imposed a fine of EUR 20,000,000 on Clearview AI Inc. The non-profit organization ""Homos Digitalis"" had filed a complaint with the DPA on behalf of the data subject. The company holds a database of more than 20 billion facial images (including those of greek residents and nationals) from around the world. The data is collected online from publicly accessible platforms such as social networks. The company offers a search service that allows individuals be identified based on the biometric data extracted from the images. Individuals' profiles can be enriched with information associated with those images, such as image tags and geolocation. In the course of its investigation the DPA found that the personal data contained in the company's database had been processed unlawfully and without a valid legal basis. Also, the DPA found that the company had not provided the data subject with access to their personal data and thus violating Art. 15 GDPR. Furthermore, Cleaview had violated the principle of transparency by failing to adequately inform users about the processing of their data.",nonmal_kw,not_cyber,High,Clearview unlawful biometric scraping
